Date,ITSA4,GOAU4,EMBR3,PETR4,CPFE3
9/29/16,5.870311,3.254373,13.888556,12.459294,21.883991
9/30/16,5.849273,3.244913,13.673834,12.589175,21.883991
10/3/16,5.954479,3.339517,13.820235,12.960263,21.920179
10/4/16,5.870311,3.292215,13.849515,13.006649,21.893038
10/5/16,5.947458,3.415199,14.103278,13.526173,21.838755
10/6/16,6.04565,3.547645,14.444879,14.008588,21.911127
10/7/16,6.115784,3.65171,14.152076,14.157024,21.82971
10/10/16,6.206964,3.66117,13.937355,14.593051,21.974459
10/11/16,6.143842,3.594947,13.673834,14.277627,21.874945
10/13/16,6.143842,3.519264,14.015437,14.620885,21.820663
10/14/16,6.242027,3.594947,14.42536,15.084744,21.902082
10/17/16,6.298136,3.632788,14.932883,15.678486,21.947317
10/18/16,6.382304,3.803076,15.469687,16.1609,22.064924
10/19/16,6.34022,3.831457,15.254965,16.346447,21.983503
10/20/16,6.368269,3.926061,15.128082,16.457767,21.938271
10/21/16,6.319182,4.190951,15.284244,16.652594,21.956364
10/24/16,6.284111,4.361239,15.186645,16.884525,21.938271
10/25/16,6.199952,4.332857,15.284244,16.698978,21.938271
10/26/16,6.213977,4.304477,15.342805,16.791754,21.893038
10/27/16,6.347233,4.380159,15.498966,16.782475,21.929224
10/28/16,6.361258,4.512604,15.664885,16.782475,21.883991
10/31/16,6.620756,4.493684,16.738491,16.411386,21.911127
11/1/16,6.473474,4.304477,17.324097,15.641376,21.80257
11/3/16,6.347233,4.276095,16.611609,14.96414,21.721149
11/4/16,6.473474,4.162571,16.914169,14.834259,21.80257
11/7/16,6.627775,4.540986,17.255774,15.966081,21.838755
11/8/16,6.662838,4.540986,16.865374,15.808368,21.784477
11/9/16,6.522571,4.711273,17.060572,15.446555,21.82971
11/10/16,6.185918,4.843718,17.821854,14.379676,21.567354
11/11/16,6.0176,4.597748,17.109369,12.997372,21.386421
11/14/16,6.010588,4.938323,17.275299,12.988094,21.350233
11/16/16,6.206964,4.635589,17.333855,13.674608,21.66687
11/17/16,6.059676,4.682892,17.499775,13.257133,21.603542
11/18/16,6.157867,4.768035,17.089855,13.47051,21.80257
11/21/16,6.220989,4.919401,16.582329,14.453893,21.893038
11/22/16,6.220989,5.099149,15.957689,14.778598,21.974459
11/23/16,6.108773,5.505946,16.387127,14.704378,21.920179
11/24/16,6.059676,5.534327,16.221209,14.453893,22.146347
11/25/16,6.031625,5.666771,16.49449,14.194132,22.119205
11/28/16,6.087734,5.941123,16.396891,14.342565,22.245859
11/29/16,5.968503,5.723535,16.094328,13.600389,22.200626
11/30/16,6.038638,5.524867,16.172407,14.843537,22.309187
12/1/16,5.741117,5.108609,16.514008,14.324012,22.001596
12/2/16,5.762196,5.222133,16.592093,14.685822,22.028738
12/5/16,5.734093,5.288357,16.455448,14.528111,22.01969
12/6/16,5.860579,5.316738,16.104088,14.982696,22.064924
12/7/16,5.874632,5.458643,16.553047,14.713655,22.073971
12/8/16,5.867603,5.515406,15.811288,14.565221,21.974459
12/9/16,5.902736,5.241054,15.655127,14.453893,22.381559
12/12/16,5.670848,4.777496,15.215923,14.472448,22.426794
12/13/16,5.698954,4.588288,15.108562,14.333289,22.725336
12/14/16,5.663823,4.266635,15.059763,13.674608,22.725336
12/15/16,5.663823,4.64505,14.640081,13.776658,22.725336
12/16/16,5.635711,4.323398,15.147602,13.693162,22.734381
12/19/16,5.537337,4.219332,14.835281,13.322073,22.76152
12/20/16,5.593553,4.342318,14.59128,13.312797,22.698193
12/21/16,5.593553,4.446381,14.923121,13.30352,22.734381
12/22/16,5.635711,4.266635,14.893844,12.997372,22.743427
12/23/16,5.771307,4.295016,14.932883,13.210746,22.752476
12/26/16,5.844362,4.370699,15.079283,13.377737,22.707243
12/27/16,5.822449,4.550447,15.235443,13.368461,22.725336
12/28/16,5.902806,4.512604,15.313523,13.711717,22.716288
12/29/16,6.048913,4.540986,15.616085,13.79521,22.806753
1/2/17,5.997773,4.484223,15.616085,13.600389,22.85199
1/3/17,6.260777,4.635589,15.967447,14.379676,22.906267
1/4/17,6.2973,4.682892,15.782006,14.379676,22.85199
1/5/17,6.355743,4.909942,16.104088,14.611607,22.806753
1/6/17,6.33383,4.909942,16.182169,14.528111,22.824848
1/9/17,6.399579,4.947783,16.221209,14.221964,22.824848
1/10/17,6.355743,5.004545,16.055286,14.361122,22.833895
1/11/17,6.399579,5.250515,16.348087,14.528111,22.842943
1/12/17,6.574903,5.278896,16.094328,14.750765,22.906267
1/13/17,6.509155,5.326198,16.396891,14.546665,22.977335
1/16/17,6.509155,5.477564,16.689692,14.611607,22.968206
1/17/17,6.64066,5.496485,17.070332,14.676547,23.013834
1/18/17,6.60413,5.439722,17.177692,14.648716,23.041212
1/19/17,6.596826,5.193752,17.22649,14.630161,23.050335
1/20/17,6.669878,5.212674,17.568096,14.843537,23.086836
1/23/17,6.837906,5.449183,17.773056,14.834259,23.168962
1/24/17,6.757542,5.3735,18.231783,14.880645,23.123337
1/26/17,6.786767,5.297817,17.948736,14.657991,23.095963
1/27/17,6.779463,5.439722,17.841377,14.491002,23.141588
1/30/17,6.699097,5.15591,17.285051,13.767381,23.105085
1/31/17,6.779463,5.316738,17.568096,13.93437,23.114212
2/1/17,6.808681,5.449183,17.792576,13.93437,23.114212
2/2/17,6.801377,5.468103,17.411936,13.813768,23.178087
2/3/17,6.932873,5.439722,17.529055,14.231242,23.223715
2/6/17,6.830601,5.316738,17.343615,13.878708,23.132462
2/7/17,6.92557,5.259975,17.57786,13.6375,23.132462
2/8/17,6.984013,5.193752,17.050812,14.008588,23.159838
2/9/17,7.035152,5.174831,17.353376,13.962202,23.178087
2/10/17,7.100902,5.345119,17.685215,14.453893,23.178087
2/13/17,7.086285,5.401882,17.909697,14.491002,23.21459
2/14/17,7.057065,5.345119,17.870657,14.676547,23.23284
2/15/17,7.327367,5.515406,17.899937,14.695103,23.269342
2/16/17,7.305453,5.63839,17.665699,14.713655,23.314966
2/17/17,7.422341,5.553247,17.734016,14.481724,23.342342
2/20/17,7.524613,5.657311,18.09514,14.76932,23.324093
2/21/17,7.712621,5.770836,18.017056,14.927032,23.314966
2/22/17,7.750061,5.572168,17.841377,14.565221,23.278465
2/23/17,7.652715,5.401882,17.382652,14.43534,23.251091
2/24/17,7.51793,5.543787,17.499775,14.082806,23.305843
3/1/17,7.492808,5.685693,17.607138,14.398231,23.278465
3/2/17,7.402804,5.591089,17.372892,14.017865,23.23284
3/3/17,7.492808,5.761376,17.880415,14.212686,23.287592
3/6/17,7.552804,5.931663,17.753534,14.008588,23.305843
3/7/17,7.440303,6.149251,17.899937,14.082806,23.314966
3/8/17,7.297795,5.685693,18.339144,13.498341,23.324093
3/9/17,7.230299,5.685693,18.719784,13.451955,23.314966
3/10/17,7.260295,5.543787,18.319622,13.275688,23.296717
3/13/17,7.365299,5.657311,18.446499,13.33135,23.296717
3/14/17,7.282794,5.657311,18.124418,12.60773,23.314966
3/15/17,7.470309,5.827599,17.92922,13.173638,23.342342
3/16/17,7.470309,5.647851,18.212259,12.719055,23.378845
3/17/17,7.3278,5.439722,18.056097,12.20881,23.333216
3/20/17,7.312803,5.439722,18.446499,12.617007,23.351467
3/21/17,7.057791,4.938323,17.360838,12.060372,23.378845
3/22/17,7.237798,5.11807,17.302153,12.672669,23.415346
3/23/17,7.177793,4.957242,17.487984,12.589175,23.369719
3/24/17,7.245298,4.758575,17.370617,12.505679,23.451845
3/27/17,7.312803,4.796416,17.214125,12.774719,23.533974
3/28/17,7.260295,4.768035,17.360838,12.941709,23.533974
3/29/17,7.3278,4.843718,17.194565,13.405568,23.606976
3/30/17,7.237798,4.711273,17.106535,13.405568,23.579599
3/31/17,7.125287,4.682892,17.00873,13.442678,23.515722
4/3/17,7.185293,4.559907,16.637062,13.609668,23.533974
4/4/17,7.282794,4.616669,16.76421,13.776658,23.552223
4/5/17,7.200294,4.436922,16.480572,13.516895,23.533974
4/6/17,7.10279,4.266635,16.920704,13.479787,23.543097
4/7/17,7.140287,4.276095,16.96961,13.6375,23.561346
4/10/17,7.170294,4.228793,16.637062,13.860152,23.543097
