Date,ITSA4,GOAU4
8/15/17,7.483649,4.985624
8/16/17,7.491222,5.108609
8/17/17,7.430623,5.080229
8/18/17,7.529089,5.099149
8/21/17,7.521518,4.938323
8/22/17,7.597264,5.099149
8/23/17,7.756328,5.477564
8/24/17,7.816928,5.345119
8/25/17,7.80178,5.316738
8/28/17,7.786627,5.288357
8/29/17,7.847222,5.307277
8/30/17,7.854796,5.420802
8/31/17,7.726033,5.354578
9/1/17,7.87395,5.647851
9/4/17,7.843611,5.931663
9/5/17,7.889129,5.818138
9/6/17,8.109108,5.903281
9/7/17,8.109108,5.903281
9/8/17,8.131862,5.647851
9/11/17,8.23807,5.808677
9/12/17,8.275994,5.666771
9/13/17,8.298748,5.581628
9/14/17,8.329097,5.439722
9/15/17,8.511153,5.524867
9/18/17,8.564221,5.63839
9/19/17,8.533933,5.496485
9/20/17,8.45049,5.392421
9/21/17,8.458081,5.316738
9/22/17,8.442895,5.222133
9/25/17,8.351858,4.957242
9/26/17,8.344264,5.014006
9/27/17,8.222891,4.938323
9/28/17,8.207722,4.843718
9/29/17,8.367045,5.004545
10/2/17,8.313928,5.042386
10/3/17,8.640069,5.316738
10/4/17,8.579408,5.392421
10/5/17,8.632559,5.15591
10/6/17,8.594594,5.051847
10/9/17,8.465676,5.080229
10/10/17,8.640069,5.354578
10/11/17,8.617374,5.269435
10/12/17,8.617374,5.269435
10/13/17,8.60978,5.36404
10/16/17,8.571814,5.278896
10/17/17,8.473186,5.203214
10/18/17,8.511153,5.297817
10/19/17,8.458081,5.354578
10/20/17,8.458081,5.297817
10/23/17,8.260823,5.259975
10/24/17,8.442895,5.38296
10/25/17,8.571814,5.430262
10/26/17,8.480778,5.212674
10/27/17,8.458081,5.203214
10/30/17,8.222891,4.938323
10/31/17,7.949808,4.834258
11/1/17,7.889129,4.682892
11/2/17,7.889129,4.682892
11/3/17,7.964978,4.872099
11/6/17,7.987742,4.947783
11/7/17,7.81327,4.65451
11/8/17,8.071183,4.862638
11/9/17,7.942223,4.65451
11/10/17,7.942223,4.512604
11/13/17,7.942223,4.569368
11/14/17,7.828441,4.323398
11/15/17,7.828441,4.323398
11/16/17,7.949808,4.446381
11/17/17,8.040836,4.550447
11/20/17,8.040836,4.550447
11/21/17,8.162211,4.578827
11/22/17,8.139456,4.711822
11/23/17,8.131862,4.778319
11/24/17,8.056005,4.721321
11/27/17,8.184966,4.863816
11/28/17,8.154628,4.806818
11/29/17,7.957393,4.873316
11/30/17,7.87395,4.816319
12/1/17,7.94612,4.816319
12/4/17,7.976502,5.05381
12/5/17,7.938524,5.015811
12/6/17,8.052473,4.996812
12/7/17,7.961313,4.939814
12/8/17,7.991705,5.082309
12/11/17,8.029683,5.158305
12/12/17,8.113248,5.196304
12/13/17,7.999302,5.101307
12/14/17,7.976502,5.253303
12/15/17,8.014492,5.443295
12/18/17,7.976502,5.262801
12/19/17,7.900544,5.291301
12/20/17,8.022087,5.424296
12/21/17,8.318359,5.443295
12/22/17,8.325957,5.433794
12/25/17,8.325957,5.433794
12/26/17,8.363029,5.557291
12/27/17,8.339887,5.509792
12/28/17,8.347599,5.500293
12/29/17,8.347599,5.500293
1/2/18,8.50964,5.747283
1/3/18,8.609951,5.728284
1/4/18,8.771956,5.937277
1/5/18,8.78732,5.956275
1/8/18,8.779679,6.032273
1/9/18,8.640758,6.022773
1/10/18,8.640758,6.041773
1/11/18,8.779679,6.34576
1/12/18,8.802765,6.507255
1/15/18,8.910796,6.478755
1/16/18,9.026552,6.336261
1/17/18,9.16539,6.573752
1/18/18,9.21164,6.478755
1/19/18,9.242533,6.241264
1/22/18,9.473959,6.288762
1/23/18,9.350565,6.08927
1/24/18,9.960064,6.383759
1/25/18,9.960064,6.383759
1/26/18,10.376665,6.526254
1/29/18,10.106624,6.393259
1/30/18,10.168324,6.488255
1/31/18,10.222381,6.535753
2/1/18,10.19149,6.61175
2/2/18,10.029484,6.602251
2/5/18,9.720831,6.260264
2/6/18,10.098902,6.412258
2/7/18,9.890559,6.336261
2/8/18,9.798056,6.222266
2/9/18,9.782611,6.288762
2/14/18,null,null
2/15/18,10.098902,6.687747
2/16/18,10.338051,7.067734
2/19/18,10.314884,7.381221
2/20/18,10.731569,7.248227
2/21/18,10.916659,7.447719
2/22/18,11.094112,7.42872
2/23/18,11.02879,7.514216
2/26/18,11.044986,7.780207
2/27/18,10.899372,7.599714
2/28/18,10.61615,7.485718
3/1/18,10.798413,7.580715
3/2/18,10.887521,7.400221
3/5/18,11.179173,7.504717
3/6/18,11.130521,7.267226
3/7/18,11.098085,7.41922
3/8/18,11.025192,7.229228
3/9/18,11.122411,7.191229
3/12/18,11.227741,7.276725
3/13/18,11.154846,7.238727
3/14/18,11.041412,7.257726
3/15/18,10.992846,7.058234
3/16/18,10.887521,7.020235
3/19/18,10.774084,6.811244
3/20/18,10.774084,7.048735
3/21/18,10.790302,7.115232
3/22/18,10.749756,6.868242
3/23/18,10.782194,6.744746
3/26/18,10.96041,6.687747
3/27/18,10.846977,6.535753
3/28/18,10.976631,6.545253
3/29/18,11.171064,6.782744
4/2/18,11.106194,6.801744
4/3/18,11.04952,6.801744
4/4/18,11.057628,6.697248
4/5/18,11.025192,7.134231
4/6/18,10.936085,7.077233
4/9/18,10.71741,6.887241
4/10/18,10.765976,7.048735
4/11/18,10.757865,7.048735
4/12/18,10.927975,7.314724
4/13/18,10.693085,7.362223
4/16/18,10.498649,7.229228
4/17/18,10.693085,7.43822
4/18/18,10.903738,7.761208
4/19/18,10.733628,7.694711
4/20/18,10.644521,7.675711
4/23/18,10.684975,7.590214
4/24/18,10.660647,7.561716
4/25/18,10.725519,7.504717
4/26/18,11.073849,7.656712
4/27/18,11.090065,7.561716
4/30/18,11.025192,7.42872
5/2/18,10.369083,7.343224
5/3/18,10.085539,7.295725
5/4/18,9.923537,7.409721
5/7/18,9.939669,7.16273
5/8/18,9.963993,7.086733
5/9/18,9.98832,7.542716
5/10/18,10.320431,7.71371
5/11/18,10.158429,7.599714
5/14/18,10.012648,7.637712
5/15/18,9.874886,7.552215
5/16/18,9.972102,7.751709
5/17/18,9.534667,7.685211
5/18/18,9.396993,7.647212
5/21/18,9.340231,7.457219
5/22/18,9.745321,7.409477
5/23/18,9.51845,7.333091
5/24/18,9.672338,7.199415
5/25/18,9.534667,6.865224
5/28/18,9.137686,6.349617
5/29/18,9.072903,6.502389
5/30/18,9.097231,6.502389
6/1/18,9.235122,6.760193
6/4/18,9.529574,6.865224
6/5/18,9.056664,6.788838
6/6/18,8.931745,6.731549
6/7/18,8.387453,6.359165
6/8/18,8.405298,6.196844
6/11/18,8.208995,6.082264
6/12/18,8.200073,6.177747
6/13/18,8.137612,6.139555
6/14/18,7.869929,6.05362
6/15/18,7.950235,5.881751
6/18/18,7.682549,5.872202
6/19/18,8.021616,6.005878
6/20/18,8.191152,6.311423
6/21/18,7.950235,5.967685
6/22/18,8.012692,6.10136
6/25/18,7.977003,5.93904
6/26/18,8.110844,5.795816
6/27/18,7.869929,5.748075
6/28/18,8.066231,5.843557
6/29/18,8.191152,5.900847
7/2/18,8.280379,5.93904
7/3/18,8.556988,6.177747
7/4/18,8.637291,6.27323
7/5/18,8.655137,6.531034
7/6/18,8.672985,6.693355
7/10/18,8.690828,6.616968
7/11/18,8.717597,6.473744
7/12/18,8.842515,6.846128
7/13/18,9.038818,6.827031
7/16/18,9.092356,6.874773
7/17/18,9.270811,7.275801
7/18/18,9.261889,7.313994
7/19/18,9.395731,7.199415
7/20/18,9.699108,7.44767
7/23/18,9.458191,7.495412
7/24/18,9.476037,7.543154
7/25/18,9.779412,7.399929
7/26/18,9.609879,7.180319
7/27/18,9.583111,7.514508
7/30/18,9.681263,7.619541
7/31/18,9.297581,7.342639
8/1/18,9.502806,7.237608
8/2/18,9.556342,7.371284
8/3/18,9.841871,7.428575
8/6/18,9.699108,7.409477
8/7/18,9.681263,7.304446
8/8/18,9.476037,7.495412
8/9/18,9.288656,7.438122
8/10/18,8.931745,7.17077
8/13/18,8.88713,7.285349
8/14/18,9.101277,7.44767
8/15/18,9.083433,7.17077
8/16/18,8.994205,7.037094
8/17/18,8.878208,7.075288
8/20/18,8.858888,7.361735
8/21/18,8.658377,7.39038
8/22/18,8.849771,7.515642
8/23/18,8.612806,7.400016
8/24/18,8.64926,7.611996
8/27/18,8.895341,7.997414
8/28/18,8.749516,7.881789
8/29/18,8.995597,7.881789
8/30/18,8.594579,7.602361
8/31/18,8.740403,7.573454
9/3/18,8.644555,7.506006
9/4/18,8.544143,7.371111
9/5/18,8.544143,7.303662
9/6/18,8.854506,7.486735
9/10/18,8.845379,7.467464
9/11/18,8.480245,7.091683
9/12/18,8.535016,7.24585
9/13/18,8.589786,7.130225
9/14/18,8.790608,7.062776
9/17/18,8.927533,7.236214
9/18/18,9.046203,7.602361
9/19/18,9.037075,7.554183
9/20/18,8.909276,7.534912
9/21/18,9.009688,7.640902
9/24/18,8.754096,7.467464
9/25/18,8.827122,7.785434
9/26/18,8.909276,7.756528
9/27/18,9.174,7.70835
9/28/18,9.219642,7.68908
10/1/18,9.11923,7.515642
10/2/18,9.493492,7.679444
10/3/18,9.803857,7.679444
10/4/18,9.730829,7.583089
10/5/18,9.612161,7.428923
10/8/18,10.196376,7.4771
10/9/18,10.114222,7.554183
10/10/18,9.867756,7.255485
10/11/18,9.812985,7.168766
10/15/18,9.876883,7.284391
10/16/18,10.287661,7.457829
10/17/18,10.196376,7.534912
10/18/18,9.886011,7.236214
10/19/18,9.867756,7.101318
10/22/18,10.022938,7.428923
10/23/18,10.00468,7.438559
10/24/18,9.767344,7.197672
10/25/18,9.876883,7.188037
10/26/18,10.077706,7.342204
10/29/18,9.940783,7.255485
10/30/18,10.324175,7.380744
10/31/18,10.260274,7.650537
11/1/18,10.406327,7.843247
11/5/18,10.49761,8.02632
11/6/18,10.543253,8.064862
11/7/18,10.588895,8.02632
11/8/18,10.315046,7.727622
11/9/18,10.543253,7.669809
11/12/18,10.442842,7.428923
11/13/18,10.369814,7.313298
11/14/18,10.543253,7.197672
11/16/18,10.944901,7.611996
11/19/18,11.01793,7.400016
11/21/18,10.817106,7.216943
11/22/18,10.807977,7.168179
11/23/18,10.826233,6.836591
11/26/18,10.62541,6.690301
11/27/18,11.036185,6.807333
11/28/18,11.291779,6.865849
11/29/18,11.401321,6.934116
11/30/18,11.264395,7.138922
12/3/18,11.182104,7.411995
12/4/18,11.017529,7.20719
12/5/18,11.017529,7.285211
12/6/18,11.300966,7.187685
12/7/18,11.081532,7.177933
12/10/18,10.743234,6.98288
12/11/18,10.779807,6.895106
12/12/18,10.889524,6.924363
12/13/18,11.063246,6.98288
12/14/18,11.136391,6.865849
