Date,ITSA4,GOAU4,EMBR3,TOTS3,CPFE3,MGLU3
1/19/16,3.848129,0.993341,26.619488,28.408167,12.284678,0.146554
1/20/16,3.805703,0.97442,26.11467,27.626936,12.110063,0.1455
1/21/16,3.817831,0.936578,26.299122,27.036318,12.29345,0.144445
1/22/16,3.87843,0.936578,27.095181,27.24592,12.869655,0.134429
1/26/16,3.93903,0.917658,26.541821,27.626936,12.590234,0.135062
1/27/16,3.94509,0.936578,27.250505,28.112764,12.957007,0.136854
1/28/16,4.029928,0.936578,26.143789,28.722475,13.594343,0.135483
1/29/16,4.169306,0.97442,27.920368,30.866005,14.153184,0.149189
2/1/16,4.193545,1.087945,27.891239,30.522974,14.397609,0.153407
2/2/16,3.848129,1.097405,26.464157,30.103867,13.864992,0.147608
2/3/16,4.048109,1.116326,26.609777,28.970156,14.065832,0.15288
2/4/16,4.114767,1.22985,26.881603,29.341724,14.406382,0.153407
2/5/16,4.108707,1.324454,27.085468,29.722748,14.493644,0.14571
2/10/16,4.114767,1.409598,27.755331,29.341724,14.46751,0.141704
2/11/16,4.023869,1.192009,26.697149,28.874899,13.969796,0.13348
2/12/16,4.029928,1.22039,27.376715,28.722475,13.891214,0.160576
2/15/16,4.035988,1.22985,27.541754,27.703203,13.734053,0.182929
2/16/16,4.096589,1.324454,28.629057,28.589132,13.84754,0.200642
2/17/16,4.114767,1.362296,28.629057,28.57959,14.502415,0.178711
2/18/16,4.042049,1.296073,29.153292,29.256018,14.711937,0.187989
2/19/16,4.074289,1.314994,28.502846,29.665577,14.380157,0.189782
2/22/16,4.212185,1.343375,29.25037,30.904089,14.973904,0.192523
2/23/16,4.205917,1.277152,28.64847,31.437542,14.502415,0.20022
2/24/16,4.174578,1.22039,28.658178,29.722748,14.432516,0.200326
2/25/16,4.205917,1.087945,29.318327,29.246469,14.860327,0.197374
2/26/16,4.16831,1.087945,28.842632,29.113134,14.222996,0.200326
2/29/16,4.274868,1.144707,29.318327,30.00861,14.580997,0.207706
3/1/16,4.462332,1.182548,28.832922,31.247026,14.973904,0.219304
3/2/16,4.531466,1.182548,28.250439,31.532793,14.624671,0.233115
3/3/16,4.902282,1.362296,24.299265,31.008886,15.13975,0.265274
3/4/16,5.097112,1.570424,22.396481,31.418547,15.436624,0.266749
3/7/16,5.034262,1.636647,23.279913,32.056789,15.323136,0.266539
3/8/16,5.210239,1.655568,22.959547,32.104424,15.523976,0.263481
3/9/16,5.084542,1.769093,22.736263,31.037428,16.248661,0.28151
3/10/16,5.273089,2.033983,21.318884,31.104139,16.449415,0.286255
3/11/16,5.367369,1.94884,21.843126,31.123137,16.370831,0.284779
3/14/16,5.329651,1.901538,21.872252,30.961264,16.126406,0.295217
3/15/16,5.021695,1.542043,22.736263,30.29438,15.314366,0.291315
3/16/16,4.895997,1.665028,22.736263,30.770752,15.864435,0.301121
3/17/16,5.398794,1.854236,22.01787,29.53224,16.894678,0.301648
3/18/16,5.392509,2.005602,22.085825,28.57959,16.894678,0.289945
3/21/16,5.461642,1.9583,22.377066,28.655853,16.763741,0.314827
3/22/16,5.266804,2.033983,22.795237,28.10331,16.746286,0.323684
3/23/16,5.109682,1.863696,22.727161,27.274456,16.344698,0.333173
3/24/16,5.109682,1.967761,23.009188,27.112484,16.990801,0.333173
3/28/16,5.310797,2.081285,22.86331,27.617397,17.619364,0.314406
3/29/16,5.367369,2.119127,23.398186,27.112484,17.724169,0.318623
3/30/16,5.323375,2.308335,23.339834,26.836262,17.383709,0.320521
3/31/16,5.13482,2.308335,23.19396,25.95023,17.436068,0.308396
4/1/16,5.13482,2.374557,22.775787,26.283724,17.165417,0.312824
4/4/16,4.96513,2.279953,22.50349,26.140842,16.720062,0.3046
4/5/16,4.939991,2.261033,22.357615,25.816896,16.571669,0.298485
4/6/16,4.808001,2.20427,21.706041,25.912149,16.222439,0.289945
4/7/16,4.877142,2.100206,22.085316,26.836262,16.266115,0.287309
4/8/16,5.166246,2.327255,21.57962,27.007683,16.632799,0.299434
4/11/16,5.178816,2.365097,20.480701,26.864799,16.440731,0.302492
4/12/16,5.417649,2.488082,20.500154,27.150566,16.973259,0.306604
4/13/16,5.442789,2.819195,20.801626,25.95023,17.034388,0.30091
4/14/16,5.329651,2.488082,21.219801,26.340899,16.720062,0.301543
4/15/16,5.417649,2.69621,21.686598,26.67429,17.034388,0.300488
4/18/16,5.373654,2.611067,21.657421,26.683836,16.842319,0.302597
4/19/16,5.367369,2.743512,21.054476,26.807627,16.938354,0.30323
4/20/16,5.260519,2.790814,21.297602,27.017225,16.851091,0.306287
4/22/16,5.210239,2.771894,21.122549,26.855253,16.816189,0.304073
4/25/16,5.153676,2.582686,20.762728,26.874346,16.798643,0.301859
4/26/16,5.342223,2.629987,21.132278,27.341173,16.9209,0.30576
4/27/16,5.474214,2.771894,21.365673,27.02046,17.724169,0.364382
4/28/16,5.461642,2.715131,20.811348,27.687283,17.715487,0.341502
4/29/16,5.442789,2.752973,20.004179,27.25235,17.331263,0.337707
5/2/16,5.323375,2.667829,19.644361,28.151163,17.713457,0.367966
5/3/16,5.033008,2.488082,19.692982,27.793594,17.713457,0.363644
5/4/16,5.115967,2.592146,19.556837,27.822542,17.505384,0.337918
5/5/16,5.060659,2.516463,19.372063,28.209061,17.550617,0.300488
5/6/16,5.081403,2.573225,18.623243,28.015802,17.686317,0.358478
5/9/16,5.150537,2.459701,18.89554,28.286425,17.405869,0.369548
5/10/16,5.392509,2.535384,19.119211,29.136824,17.86725,0.369021
5/11/16,5.357939,2.582686,18.652416,28.141479,17.822018,0.372184
5/12/16,5.42016,2.535384,18.341223,29.726377,18.09342,0.363749
5/13/16,5.295717,2.365097,18.146721,28.528,17.876301,0.354576
5/16/16,5.268067,2.185349,18.234243,28.557049,17.650131,0.359321
5/17/16,5.102142,2.071825,18.16617,28.170429,17.233982,0.360692
5/18/16,5.102142,2.052904,18.477367,27.764547,16.82688,0.367228
5/19/16,5.129792,1.9583,18.574621,27.397295,16.7726,0.363644
5/20/16,5.067571,2.005602,18.428743,26.643528,16.899252,0.369021
5/23/16,5.081403,1.939379,18.438465,26.044382,16.555479,0.355841
5/24/16,5.033008,1.892077,18.632963,27.416662,16.745461,0.364382
5/25/16,5.026096,1.939379,18.52599,26.923832,16.419779,0.358478
5/27/16,5.026096,1.873157,18.535717,27.590651,16.60976,0.35426
5/30/16,5.019175,1.835315,18.136997,27.54224,16.582619,0.363433
5/31/16,4.936217,1.825855,18.282869,28.62463,16.537386,0.366491
6/1/16,5.044743,1.844776,18.234243,28.701988,16.763554,0.356685
6/2/16,5.058601,1.901538,18.516268,29.620066,17.080187,0.36512
6/3/16,5.093252,2.033983,18.185623,31.755789,17.324448,0.368915
6/6/16,5.02395,2.100206,18.136997,30.586458,17.188747,0.393271
6/7/16,5.114038,2.052904,18.409294,30.248158,17.197796,0.401179
6/8/16,5.204118,2.19481,18.156446,29.765009,17.957718,0.401179
6/9/16,5.23877,2.062364,17.932772,29.658697,17.767738,0.397383
6/10/16,4.961583,1.939379,17.028353,29.301132,17.360636,0.387893
6/13/16,5.010092,1.873157,17.320103,29.765009,17.849157,0.36997
6/14/16,4.913083,1.816394,16.872755,28.991877,17.740599,0.367228
6/15/16,4.906147,1.920459,16.901926,29.185139,17.713457,0.366807
6/16/16,5.01702,1.892077,17.738276,29.417126,18.138651,0.357423
6/17/16,4.947726,1.901538,17.465973,28.991877,18.274353,0.376401
6/20/16,5.030878,1.892077,17.407625,28.711676,18.401007,0.387999
6/21/16,4.982377,1.863696,17.885214,29.581432,18.826202,0.397278
6/22/16,4.940798,1.910998,17.739014,28.991877,18.509567,0.395907
6/23/16,5.120966,2.071825,18.050909,29.37849,18.500521,0.400124
6/24/16,4.996235,1.939379,17.690281,28.769571,18.229118,0.390108
6/27/16,4.84378,1.892077,17.358891,28.392736,18.048185,0.390002
6/28/16,4.982377,1.892077,16.959278,28.470003,18.138651,0.400652
6/29/16,5.100181,1.920459,17.076237,29.281771,18.681456,0.403287
6/30/16,5.259556,1.892077,17.056744,29.513758,18.627176,0.405923
7/1/16,5.308065,1.9583,17.202942,29.832689,18.600035,0.411195
7/4/16,5.301136,1.996142,17.826735,30.122576,20.183208,0.413831
7/5/16,5.23877,1.910998,17.261423,29.562067,20.04751,0.412776
7/6/16,5.211047,1.9583,17.310158,29.6007,19.993227,0.411195
7/7/16,5.252627,1.910998,17.212687,29.851957,20.355097,0.417521
7/8/16,5.405081,1.929919,17.388136,30.016268,20.318909,0.440717
7/11/16,5.412011,1.996142,17.261423,29.832689,20.318909,0.43903
7/12/16,5.328851,2.138047,17.524588,30.712036,20.219395,0.440717
7/13/16,5.453583,2.185349,17.417374,30.586458,20.427471,0.442825
7/14/16,5.696118,2.213731,17.427116,30.924664,20.355097,0.449678
7/15/16,5.668403,2.298874,16.969027,30.567095,20.454611,0.44873
7/18/16,5.793137,2.45024,16.764345,31.098658,20.300817,0.448413
7/19/16,5.827786,2.374557,16.939785,32.035999,20.436518,0.453369
7/20/16,5.806993,2.317795,16.696115,31.610853,20.400328,0.45495
7/21/16,5.751556,2.365097,16.657125,31.891058,20.409376,0.453369
7/22/16,5.76542,2.459701,16.93004,31.649481,20.608406,0.453685
7/25/16,5.737699,2.478621,16.881304,31.601171,20.499844,0.476353
7/26/16,5.68226,2.516463,17.06649,32.219677,20.400328,0.477724
7/27/16,5.772351,2.629987,17.046995,31.736425,20.337002,0.474878
7/28/16,5.703055,2.582686,17.09573,32.151997,20.400328,0.464545
7/29/16,5.793137,2.573225,14.454373,31.794424,20.662683,0.484999
8/1/16,5.723843,2.658369,13.889063,31.591476,20.445562,0.484999
8/2/16,5.758494,2.516463,14.006022,31.456219,20.427471,0.462331
8/3/16,5.987162,2.70567,14.035263,31.156652,20.463659,0.46813
8/4/16,6.00102,2.781354,14.220452,30.364153,20.545076,0.527173
8/5/16,5.980234,2.894879,14.288677,30.761446,20.445562,0.558804
8/8/16,5.938662,2.762433,14.542093,30.995331,20.355097,0.559331
8/9/16,5.931726,2.819195,14.376398,31.063591,20.264629,0.595705
8/10/16,5.855501,2.904339,14.395892,30.673656,20.264629,0.613629
8/11/16,6.021813,3.017864,14.473866,31.697084,20.689825,0.622064
8/12/16,6.028742,3.027324,14.63956,31.45343,20.653639,0.632291
8/15/16,6.138977,3.405739,14.746775,30.907639,21.124065,0.626809
8/16/16,6.075977,3.443581,14.620068,30.215559,21.006458,0.65517
8/17/16,6.173972,3.708472,14.454373,30.566433,21.087879,0.666347
8/18/16,6.201975,3.708472,14.395892,30.313019,21.078833,0.651586
8/19/16,6.145975,3.784155,14.142478,30.147297,21.078833,0.646314
8/22/16,5.977976,3.585487,13.655141,29.065477,20.934084,0.651586
8/23/16,5.984973,3.66117,13.791595,29.484516,20.771244,0.663183
8/24/16,5.963975,3.415199,14.015769,28.607279,20.84362,0.663183
8/25/16,5.949977,3.42466,13.772103,29.435785,20.825523,0.651164
8/26/16,6.005978,3.471962,13.781849,29.718493,20.762199,0.654538
8/29/16,6.096974,3.500343,13.889063,29.240864,20.961226,0.663183
8/30/16,6.110972,3.509804,13.937797,29.357851,20.897898,0.643678
8/31/16,6.019976,3.509804,13.967036,29.240864,21.033598,0.637879
9/1/16,6.0737,3.415199,14.132731,28.967922,21.305,0.666979
9/2/16,6.157867,3.689551,14.698039,29.913412,21.630682,0.69323
9/5/16,6.13683,3.708472,14.912468,29.971909,21.576403,0.695659
9/6/16,6.185918,3.784155,15.448537,30.468973,21.721149,0.696921
9/8/16,6.101758,3.944982,15.73119,30.225323,21.66687,0.694816
9/9/16,5.821217,3.736853,15.351071,28.753569,21.549263,0.694708
9/12/16,5.870311,3.926061,15.282845,29.240864,21.540216,0.692704
9/13/16,5.842261,3.594947,15.468029,29.240864,21.440702,0.653695
9/14/16,5.77914,3.566566,15.360817,29.416353,21.612587,0.649161
9/15/16,5.912395,3.632788,15.380309,30.420246,21.712103,0.654327
9/16/16,5.842261,3.528724,15.000187,30.897873,21.748289,0.658966
9/19/16,5.856287,3.509804,14.58108,30.654221,21.85685,0.676887
9/20/16,5.891349,3.311136,14.659052,31.336441,21.883991,0.689546
9/21/16,5.926421,3.490883,14.522599,30.84914,22.001596,0.734986
9/22/16,6.0176,3.415199,14.464119,31.648354,21.983503,0.742577
9/23/16,5.968503,3.434121,14.766267,31.19025,21.983503,0.733933
9/26/16,5.89837,3.348977,14.259439,30.468973,21.983503,0.749959
9/27/16,5.982529,3.225992,14.054476,31.141521,21.947317,0.783381
9/28/16,6.04565,3.348977,14.366797,31.19025,21.992552,0.790763
9/29/16,5.870311,3.254373,13.888556,29.854919,21.883991,0.792234
9/30/16,5.849273,3.244913,13.673834,29.611271,21.883991,0.806573
10/3/16,5.954479,3.339517,13.820235,30.87834,21.920179,0.820386
10/4/16,5.870311,3.292215,13.849515,30.897873,21.893038,0.832937
10/5/16,5.947458,3.415199,14.103278,30.176596,21.838755,0.853491
10/6/16,6.04565,3.547645,14.444879,31.014866,21.911127,0.872472
10/7/16,6.115784,3.65171,14.152076,30.585964,21.82971,0.896191
10/10/16,6.206964,3.66117,13.937355,30.420246,21.974459,0.954182
10/11/16,6.143842,3.594947,13.673834,29.387056,21.874945,0.952812
10/13/16,6.143842,3.519264,14.015437,29.240864,21.820663,0.933095
10/14/16,6.242027,3.594947,14.42536,28.919189,21.902082,0.959243
10/17/16,6.298136,3.632788,14.932883,29.143406,21.947317,0.948912
10/18/16,6.382304,3.803076,15.469687,29.240864,22.064924,0.959459
10/19/16,6.34022,3.831457,15.254965,29.123877,21.983503,0.969891
10/20/16,6.368269,3.926061,15.128082,29.309128,21.938271,0.969998
10/21/16,6.319182,4.190951,15.284244,28.948488,21.956364,0.980755
10/24/16,6.284111,4.361239,15.186645,29.387056,21.938271,1.035581
10/25/16,6.199952,4.332857,15.284244,28.509819,21.938271,0.875111
10/26/16,6.213977,4.304477,15.342805,28.490389,21.893038,0.732772
10/27/16,6.347233,4.380159,15.498966,28.353865,21.929224,0.959351
10/28/16,6.361258,4.512604,15.664885,27.505928,21.883991,0.917177
10/31/16,6.620756,4.493684,16.738491,28.227207,21.911127,0.97485
11/1/16,6.473474,4.304477,17.324097,27.535128,21.80257,0.971051
11/3/16,6.347233,4.276095,16.611609,27.096561,21.721149,0.969998
11/4/16,6.473474,4.162571,16.914169,25.147177,21.80257,0.978541
11/7/16,6.627775,4.540986,17.255774,25.19591,21.838755,0.991085
11/8/16,6.662838,4.540986,16.865374,24.903528,21.784477,1.000681
11/9/16,6.522571,4.711273,17.060572,24.542793,21.82971,1.033151
11/10/16,6.185918,4.843718,17.821854,24.269945,21.567354,0.999837
11/11/16,6.0176,4.597748,17.109369,23.616833,21.386421,0.998785
11/14/16,6.010588,4.938323,17.275299,22.993107,21.350233,0.971051
