Date,^GSPC,^DJI,^IXIC,^BVSP
2/29/16,1932.22998,16639.9707,4557.950195,47193
3/1/16,1978.349976,16516.5,4689.600098,49085
3/2/16,1986.449951,16865.08008,4703.419922,49246
3/3/16,1993.400024,16899.32031,4707.419922,49102
3/4/16,1999.98999,16943.90039,4717.02002,48665
3/7/16,2001.76001,17006.76953,4708.25,49571
3/8/16,1979.26001,17073.94922,4648.819824,49639
3/9/16,1989.26001,16964.09961,4674.379883,48867
3/10/16,1989.569946,17000.35938,4662.160156,47130
3/11/16,2022.189941,16995.13086,4748.470215,47763
3/14/16,2019.640015,17213.31055,4750.279785,50914
3/15/16,2015.930054,17229.13086,4728.669922,50815
3/16/16,2027.219971,17251.5293,4763.970215,51172
3/17/16,2040.589966,17325.75977,4774.990234,51010
3/18/16,2049.580078,17481.49023,4795.649902,49690
3/21/16,2051.600098,17602.30078,4808.870117,49657
3/22/16,2049.800049,17623.86914,4821.660156,50838
3/23/16,2036.709961,17582.57031,4768.859863,51155
3/24/16,2035.939941,17502.58984,4773.5,51249
3/28/16,2037.050049,17515.73047,4766.790039,50055
3/29/16,2055.01001,17535.39063,4846.620117,50562
3/30/16,2063.949951,17633.10938,4869.290039,48780
3/31/16,2059.73999,17716.66016,4869.850098,49054
4/1/16,2072.780029,17685.08984,4914.540039,48096
4/4/16,2066.129883,17792.75,4891.799805,48513
4/5/16,2045.170044,17737,4843.930176,50293
4/6/16,2066.659912,17603.32031,4920.720215,50165
4/7/16,2041.910034,17716.05078,4848.370117,52002
4/8/16,2047.599976,17541.96094,4850.689941,53150
4/11/16,2041.98999,17576.96094,4833.399902,52411
4/12/16,2061.719971,17556.41016,4872.089844,53228
4/13/16,2082.419922,17721.25,4947.419922,52894
4/14/16,2082.780029,17908.2793,4945.890137,53710
4/15/16,2080.72998,17926.42969,4938.220215,53631
4/18/16,2094.340088,17897.46094,4960.02002,52908
4/19/16,2100.800049,18004.16016,4940.330078,51862
4/20/16,2102.399902,18053.59961,4948.129883,53083
4/21/16,2091.47998,18096.26953,4945.890137,54478
4/22/16,2091.580078,17982.51953,4906.22998,54312
4/25/16,2087.790039,18003.75,4895.790039,53911
4/26/16,2091.699951,17977.24023,4888.279785,53562
4/27/16,2095.149902,17990.32031,4863.140137,52260
4/28/16,2075.810059,18041.55078,4805.290039,52553
4/29/16,2065.300049,17830.75977,4775.359863,51671
5/2/16,2081.429932,17773.64063,4817.589844,51718
5/3/16,2063.370117,17891.16016,4763.220215,50990
5/4/16,2051.120117,17750.91016,4725.640137,53071
5/5/16,2050.629883,17651.25977,4717.089844,52764
5/6/16,2057.139893,17660.71094,4736.160156,53241
5/9/16,2058.689941,17740.63086,4750.209961,51804
5/10/16,2084.389893,17705.91016,4809.879883,51803
5/11/16,2064.459961,17928.34961,4760.689941,50839
5/12/16,2064.110107,17711.11914,4737.330078,50562
5/13/16,2046.609985,17720.5,4717.680176,50133
5/16/16,2066.659912,17535.32031,4775.459961,49723
5/17/16,2047.209961,17710.71094,4715.72998,49330
5/18/16,2047.630005,17529.98047,4739.120117,49345
5/19/16,2040.040039,17526.61914,4712.529785,49483
5/20/16,2052.320068,17435.40039,4769.560059,49051
5/23/16,2048.040039,17500.93945,4765.779785,48964
5/24/16,2076.060059,17492.92969,4861.060059,48472
5/25/16,2090.540039,17706.05078,4894.890137,49013
5/26/16,2090.100098,17851.50977,4901.77002,49887
5/27/16,2099.060059,17828.28906,4933.5,50619
5/31/16,2096.949951,17873.2207,4948.049805,50432
6/1/16,2099.330078,17787.19922,4952.25,50488
6/2/16,2105.26001,17789.66992,4971.359863,51629
6/3/16,2099.129883,17838.56055,4942.52002,51118
6/6/16,2109.409912,17807.06055,4968.709961,49422
6/7/16,2112.129883,17920.33008,4961.75,49661
6/8/16,2119.120117,17938.2793,4974.640137,48648
6/9/16,2115.47998,18005.05078,4958.620117,48915
6/10/16,2096.070068,17985.18945,4894.549805,49412
6/13/16,2079.060059,17865.33984,4848.439941,49534
6/14/16,2075.320068,17732.48047,4843.549805,50329
6/15/16,2071.5,17674.82031,4834.930176,50838
6/16/16,2077.98999,17640.16992,4844.919922,50156
6/17/16,2071.219971,17733.09961,4800.339844,51560
6/20/16,2083.25,17675.16016,4837.209961,50105
6/21/16,2088.899902,17804.86914,4843.759766,49246
6/22/16,2085.449951,17829.73047,4833.319824,50007
6/23/16,2113.320068,17780.83008,4910.040039,51002
6/24/16,2037.410034,18011.07031,4707.97998,51527
6/27/16,2000.540039,17400.75,4594.439941,52233
6/28/16,2036.089966,17140.24023,4691.870117,52569
6/29/16,2070.77002,17409.7207,4779.25,51842
6/30/16,2098.860107,17694.67969,4842.669922,51902
7/1/16,2102.949951,17929.99023,4862.569824,52015
7/5/16,2088.550049,17949.36914,4822.899902,53141
7/6/16,2099.72998,17840.61914,4859.160156,53960
7/7/16,2097.899902,17918.61914,4876.810059,54256
7/8/16,2129.899902,17895.88086,4956.759766,54598
7/11/16,2137.159912,18146.74023,4988.640137,55481
7/12/16,2152.139893,18226.92969,5022.819824,55578
7/13/16,2152.429932,18347.66992,5005.72998,56484
7/14/16,2163.75,18372.11914,5034.060059,56698
7/15/16,2161.73999,18506.41016,5029.589844,56578
7/18/16,2166.889893,18516.55078,5055.779785,56641
7/19/16,2163.780029,18533.05078,5036.370117,57002
7/20/16,2173.02002,18559.00977,5089.930176,56873
7/21/16,2165.169922,18595.0293,5073.899902,56783
7/22/16,2175.030029,18517.23047,5100.160156,56853
7/25/16,2168.47998,18570.84961,5097.629883,56667
7/26/16,2169.179932,18493.06055,5110.049805,57308
7/27/16,2166.580078,18473.75,5139.810059,56756
7/28/16,2170.060059,18472.16992,5154.97998,56162
7/29/16,2173.600098,18456.34961,5162.129883,57077
8/1/16,2170.840088,18432.24023,5184.200195,57594
8/2/16,2157.030029,18404.50977,5137.72998,57661
8/3/16,2163.790039,18313.76953,5159.740234,57635
8/4/16,2164.25,18355,5166.25,57689
8/5/16,2182.870117,18352.05078,5221.120117,56920
8/8/16,2180.889893,18543.5293,5213.140137,58300
8/9/16,2181.73999,18529.28906,5225.47998,58298
8/10/16,2175.48999,18533.05078,5204.580078,59146
8/11/16,2185.790039,18495.66016,5228.399902,58855
8/12/16,2184.050049,18613.51953,5232.890137,59324
8/15/16,2190.149902,18576.4707,5262.02002,59166
8/16/16,2178.149902,18636.05078,5227.109863,59099
8/17/16,2182.219971,18552.01953,5228.660156,57781
8/18/16,2187.02002,18573.93945,5240.149902,58020
8/19/16,2183.870117,18597.69922,5238.379883,57718
8/22/16,2182.639893,18552.57031,5244.600098,57722
8/23/16,2186.899902,18529.41992,5260.080078,57716
8/24/16,2175.439941,18547.30078,5217.689941,58610
8/25/16,2172.469971,18481.48047,5212.200195,58575
8/26/16,2169.040039,18448.41016,5218.919922,57901
8/29/16,2180.379883,18395.40039,5232.330078,58236
8/30/16,2176.120117,18502.99023,5222.990234,59616
8/31/16,2170.949951,18454.30078,5213.220215,59566
9/1/16,2170.860107,18400.88086,5227.209961,60129
9/2/16,2179.97998,18419.30078,5249.899902,60232
9/6/16,2186.47998,18491.96094,5275.910156,58000
9/7/16,2186.159912,18538.11914,5283.930176,58586
9/8/16,2181.300049,18526.14063,5259.47998,56821
9/9/16,2127.810059,18479.91016,5125.910156,57059
9/12/16,2159.040039,18085.44922,5211.890137,57909
